"","CODE1","n_codes","n_patients"
"854","5241A",68,59
"855","5965F",68,51
"856","6140B",68,66
"857","7151A",68,61
"858","7850A",68,60
"859","3079X",67,22
"860","3314A",67,25
"861","3808A",67,51
"862","4259X",67,45
"863","7058C",67,40
"864","7102B",67,40
"865","7851A",67,62
"866","9663A",67,52
"867","V240A",67,64
"868","0384B",66,57
"869","2015X",66,17
"870","2900A",66,32
"871","2951A",66,45
"872","3792A",66,48
"873","3811A",66,60
"874","4414A",66,38
"875","9051A",66,44
"876","2250A",65,25
"877","4241C",65,28
"878","4781A",65,62
"879","5272A",65,61
"880","6049X",65,60
"881","7166A",65,58
"882","8110A",65,54
"883","8820A",65,60
"884","0110A",64,31
"885","0781A",64,52
"886","2398X",64,56
"887","2860A",64,7
"888","3002D",64,27
"889","3076C",64,27
"890","5180A",64,41
"891","5649X",64,54
"892","5761C",64,17
"893","6423B",64,62
"894","7088A",64,41
"895","7110F",64,50
"896","7175A",64,59
"897","7471A",64,33
"898","8212A",64,51
"899","8910A",64,60
"900","1741A",63,41
"901","2331A",63,51
"902","2506A",63,29
"903","2722A",63,47
"904","4830A",63,62
"905","5150X",63,24
"906","5301X",63,56
"907","5368A",63,57
"908","6228X",63,58
"909","7232A",63,44
"910","2535A",62,20
"911","3450A",62,39
"912","6114A",62,59
"913","7109X",62,39
"914","7820X",62,48
"915","8320A",62,56
"916","2377A",61,30
"917","3950A",61,28
"918","7246A",61,31
"919","7321A",61,28
"920","7340A",61,54
"921","7526B",61,25
"922","9657A",61,52
"923","1743A",60,34
"924","1889X",60,24
"925","3001A",60,28
"926","3700A",60,38
"927","4510A",60,58
"928","6598A",60,59
"929","7143X",60,35
"930","7580A",60,20
"931","9651A",60,56
"932","V400A",60,49
"933","2964E",59,23
"934","3338X",59,35
"935","3468X",59,50
"936","3570A",59,22
"937","3680A",59,45
"938","4111B",59,48
"939","5719X",59,48
"940","6216A",59,54
"941","7108X",59,14
"942","7143A",59,23
"943","7532A",59,20
"944","7756A",59,55
"945","8510A",59,47
"946","9228X",59,57
"947","V251A",59,59
"948","2050A",58,10
"949","2503A",58,27
"950","2720A",58,35
"951","3043A",58,41
"952","3716A",58,33
"953","4039A",58,24
"954","4911A",58,33
"955","6523B",58,57
"956","7061A",58,40
"957","7189F",58,56
"958","7338A",58,45
"959","8600A",58,55
"960","2409X",57,56
"961","2440A",57,35
"962","2530A",57,16
"963","3591A",57,10
"964","4311A",57,32
"965","6088X",57,51
"966","6840A",57,50
"967","6931A",57,34
"968","7324B",57,43
"969","7436A",57,50
"970","0705A",56,39
"971","3720A",56,53
"972","4349A",56,39
"973","4828X",56,50
"974","5280A",56,51
"975","5584A",56,55
"976","5745B",56,44
"977","6011A",56,49
