concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,temp_mapping_type
715761,43013047,Maps to,20200601,20991231,NA,OMOP
1502105,35606467,Maps to,20200601,20991231,NA,OMOP
715867,37499437,Maps to,20200601,20991231,NA,OMOP
715853,1332418,Maps to,20200601,20991231,NA,OMOP
21601283,42903954,Maps to,20200601,20991231,NA,OMOP
21604837,19097481,Maps to,20200601,20991231,NA,OMOP
21600560,43532245,Maps to,20200601,20991231,NA,OMOP
21602568,1521369,Maps to,20200601,20991231,NA,OMOP
715912,35198211,Maps to,20200601,20991231,NA,OMOP
21601251,35605968,Maps to,20200601,20991231,NA,OMOP
21605109,19063871,Maps to,20200601,20991231,NA,OMOP
1123745,36879011,Maps to,20200601,20991231,NA,OMOP
45893500,1545958,Maps to,20200601,20991231,NA,OMOP
21604500,40798772,Maps to,20200601,20991231,NA,OMOP
40252857,19018511,Maps to,20200601,20991231,NA,OMOP
715902,37499303,Maps to,20200601,20991231,NA,OMOP
21604466,789578,Maps to,20200601,20991231,NA,OMOP
21601413,35197850,Maps to,20200601,20991231,NA,OMOP
40255827,1332418,Maps to,20200601,20991231,NA,OMOP
1588690,1592513,Maps to,20200601,20991231,NA,OMOP
21601404,40799155,Maps to,20200601,20991231,NA,OMOP
40255043,958134,Maps to,20200601,20991231,NA,OMOP
40251676,40166035,Maps to,20200601,20991231,NA,OMOP
45893460,1702559,Maps to,20200601,20991231,NA,OMOP
21600346,40798892,Maps to,20200601,20991231,NA,OMOP
1123818,19011904,Maps to,20200601,20991231,NA,OMOP
21604710,40799195,Maps to,20200601,20991231,NA,OMOP
21600594,909841,Maps to,20200601,20991231,NA,OMOP
21600062,46275493,Maps to,20200601,20991231,NA,OMOP
21601636,19113045,Maps to,20200601,20991231,NA,OMOP
45893490,938044,Maps to,20200601,20991231,NA,OMOP
1588664,1137529,Maps to,20200601,20991231,NA,OMOP
21601495,40798722,Maps to,20200601,20991231,NA,OMOP
21600206,19016099,Maps to,20200601,20991231,NA,OMOP
21601527,40799172,Maps to,20200601,20991231,NA,OMOP
21601804,1341927,Maps to,20200601,20991231,NA,OMOP
21601549,19010015,Maps to,20200601,20991231,NA,OMOP
21601900,1592085,Maps to,20200601,20991231,NA,OMOP
21602864,1702364,Maps to,20200601,20991231,NA,OMOP
45893466,1790868,Maps to,20200601,20991231,NA,OMOP
715851,40240664,Maps to,20200601,20991231,NA,OMOP
40252857,36879011,Maps to,20200601,20991231,NA,OMOP
715756,1707687,Maps to,20200601,20991231,NA,OMOP
40253998,19054876,Maps to,20200601,20991231,NA,OMOP
21602314,986790,Maps to,20200601,20991231,NA,OMOP
21600145,19016099,Maps to,20200601,20991231,NA,OMOP
21605333,19001701,Maps to,20141201,20991231,NA,OMOP
21601672,1370109,Maps to,20141201,20991231,NA,OMOP
21600654,975125,Maps to,20141201,20991231,NA,OMOP
21604549,19100431,Maps to,20141201,20991231,NA,OMOP
21601001,19042778,Maps to,20141201,20991231,NA,OMOP
21604559,735979,Maps to,20141201,20991231,NA,OMOP
21601248,19031041,Maps to,20141201,20991231,NA,OMOP
21601394,19078187,Maps to,20141201,20991231,NA,OMOP
21601895,1508241,Maps to,20141201,20991231,NA,OMOP
21604834,19097481,Maps to,20141201,20991231,NA,OMOP
21602897,19051345,Maps to,20141201,20991231,NA,OMOP
21604754,714785,Maps to,20141201,20991231,NA,OMOP
21604223,751698,Maps to,20141201,20991231,NA,OMOP
