code,freq_finngen,freq_tays,freq_total
JHD20,667,51,718
LFB10,554,164,718
NHK10,660,56,716
NGJ62,591,124,715
TPX22,369,346,715
JL5AG,667,46,713
JN2DM,236,476,712
HAE99,536,175,711
SJC01,583,125,708
NGE10,699,8,707
TFP32,441,264,705
NA6AA,210,492,702
JHD00,668,33,701
NFH30,632,68,700
SPC20,397,303,700
QB2S1,694,3,697
QCB05,533,164,697
PHD77,596,99,695
KCW98,150,541,691
TAC00,660,30,690
JGB00,340,350,690
SDA04,538,148,686
BC1AD,373,313,686
ZZR30,119,567,686
XX7JT,323,357,680
NCJ40,677,2,679
PG1XE,310,369,679
NCU20,606,72,678
NBU20,637,40,677
JAD10,489,187,676
PJ5AQ,68,608,676
WC105,619,56,675
SXA10,204,469,673
JAD11,536,135,671
ND1AD,541,129,670
KED52,654,12,666
WX600,507,159,666
HAC15,303,361,664
AA3AD,136,527,663
NHL16,646,15,661
MBA40,547,114,661
XMA20,647,13,660
NFU20,547,112,659
FN1AD,636,22,658
PA6AE,549,109,658
GAA31,136,521,657
BC1CD,258,398,656
JLC30,215,440,655
R1240,651,3,654
TFP40,500,154,654
JN7AQ,308,346,654
GAA96,191,463,654
PD1AE,437,216,653
NGJ60,567,84,651
AAC00,573,76,649
DHB00,554,93,647
SAC03,130,516,646
GDC01,342,303,645
FN1CD,499,145,644
NDG76,529,114,643
XX1AW,286,356,642
PJD45,269,373,642
SJB00,521,119,640
TNG11,628,10,638
QAB10,554,81,635
NA3BM,195,440,635
DE2BG,495,138,633
DQE00,205,427,632
XX3AT,140,492,632
XF614,83,547,630
UJF02,436,192,628
YX8BD,206,422,628
BBA30,579,47,626
BB1BQ,141,485,626
XF622,101,525,626
UDQ02,489,135,624
NGD25,608,12,620
WXQ24,579,39,618
SJX20,491,127,618
NA3CM,184,434,618
ACC19,580,37,617
NK4EA,613,3,616
DDA00,563,50,613
JFG10,386,227,613
WW409,525,87,612
PD4CC,485,127,612
